,Mesenchymal,Epithelial,Phenotypes
TCGA.06.0167.01,-0.574379146,-0.339435401,Neural
TCGA.06.0171.01,-0.509888654,-0.368793474,Neural
TCGA.06.0173.01,-0.441566234,-0.321906451,Neural
TCGA.06.0174.01,-0.559069326,-0.404806015,Proneural
TCGA.06.0175.01,-0.499286244,-0.368989183,Mesenchymal
TCGA.06.0176.01,-0.324842633,-0.397965186,Mesenchymal
TCGA.06.0177.01,-0.504251891,-0.390670637,Proneural
TCGA.06.0179.01,-0.428854259,-0.399145452,Neural
TCGA.06.0182.01,-0.599043009,-0.431803432,Neural
TCGA.06.0184.01,-0.42128604,-0.320973102,Mesenchymal
TCGA.06.0185.01,-0.587865355,-0.364816191,Neural
TCGA.06.0187.01,-0.466528957,-0.384997474,Classical
TCGA.06.0189.01,-0.236096155,-0.336928934,Mesenchymal
TCGA.06.0190.01,-0.254155254,-0.347759876,Mesenchymal
TCGA.06.0194.01,-0.384287062,-0.360546894,Mesenchymal
TCGA.06.0195.01,-0.632219526,-0.464435048,Neural
TCGA.06.0197.01,-0.414957329,-0.411848905,Mesenchymal
TCGA.06.0208.01,-0.601653732,-0.359900807,Neural
TCGA.06.0210.01,-0.428632151,-0.360842976,Mesenchymal
TCGA.06.0211.01,-0.52269203,-0.409709658,Classical
TCGA.06.0214.01,-0.452935957,-0.344181572,Neural
TCGA.06.0219.01,-0.683163544,-0.372323229,Neural
TCGA.06.0221.01,-0.612930773,-0.464705349,Neural
TCGA.06.0237.01,-0.58730391,-0.368781005,Neural
TCGA.06.0238.01,-0.55188148,-0.391819883,Proneural
TCGA.06.0240.01,-0.601186947,-0.356061416,Neural
TCGA.06.0241.01,-0.652759178,-0.384730493,Proneural
TCGA.06.0397.01,-0.479343166,-0.406393431,Mesenchymal
TCGA.06.0402.01,-0.511766021,-0.473951113,Classical
TCGA.06.0409.01,-0.352923342,-0.375300348,Mesenchymal
TCGA.06.0410.01,-0.636005735,-0.424654458,Proneural
TCGA.06.0412.01,-0.4742977,-0.380372904,Mesenchymal
TCGA.06.0413.01,-0.596750138,-0.445614786,Proneural
TCGA.06.0414.01,-0.604652845,-0.402934123,Proneural
TCGA.06.0644.01,-0.296610775,-0.374265085,Mesenchymal
TCGA.06.0645.01,-0.35229917,-0.383741272,Mesenchymal
TCGA.06.0646.01,-0.500085862,-0.417721238,Proneural
TCGA.06.0648.01,-0.620263374,-0.400390551,Proneural
TCGA.08.0245.01,-0.575580991,-0.470693668,Proneural
TCGA.08.0246.01,-0.486229551,-0.350719386,Classical
TCGA.08.0344.01,-0.638651155,-0.530267274,Proneural
TCGA.08.0346.01,-0.340301998,-0.32509938,Mesenchymal
TCGA.08.0347.01,-0.429631096,-0.347410815,Proneural
TCGA.08.0348.01,-0.481992742,-0.410152274,Proneural
TCGA.08.0349.01,-0.526711747,-0.380423009,Neural
TCGA.08.0350.01,-0.46179251,-0.393918909,Proneural
TCGA.08.0352.01,-0.445329039,-0.371045605,Mesenchymal
TCGA.08.0353.01,-0.55952369,-0.412318309,Proneural
TCGA.08.0354.01,-0.528323602,-0.335062425,Classical
TCGA.08.0355.01,-0.404534436,-0.355789868,Classical
TCGA.08.0357.01,-0.562353352,-0.361503292,Classical
TCGA.08.0358.01,-0.659437776,-0.364566645,Classical
TCGA.08.0359.01,-0.441613348,-0.41279632,Proneural
TCGA.08.0360.01,-0.359283691,-0.359825932,Mesenchymal
TCGA.08.0375.01,-0.526781625,-0.392858621,Classical
TCGA.08.0380.01,-0.443925332,-0.325492812,Neural
TCGA.08.0385.01,-0.596717633,-0.437820111,Proneural
TCGA.08.0386.01,-0.546222958,-0.356677614,Neural
TCGA.08.0390.01,-0.48249148,-0.360627592,Mesenchymal
TCGA.08.0392.01,-0.590922584,-0.293506039,Mesenchymal
TCGA.08.0509.01,-0.314626899,-0.388282226,Mesenchymal
TCGA.08.0510.01,-0.44473954,-0.414466673,Mesenchymal
TCGA.08.0511.01,-0.418193008,-0.39102835,Classical
TCGA.08.0512.01,-0.319477831,-0.324285059,Mesenchymal
TCGA.08.0514.01,-0.448125084,-0.349599569,Classical
TCGA.08.0517.01,-0.615198389,-0.488577044,Proneural
TCGA.08.0518.01,-0.577970717,-0.37772337,Classical
TCGA.08.0520.01,-0.55575424,-0.368441541,Neural
TCGA.08.0522.01,-0.307813164,-0.429230136,Mesenchymal
TCGA.08.0524.01,-0.644676395,-0.482459668,Proneural
TCGA.08.0529.01,-0.550094349,-0.358516803,Classical
TCGA.08.0531.01,-0.627934573,-0.376727729,Classical
TCGA.12.0616.01,-0.550679591,-0.425091769,Proneural
TCGA.12.0618.01,-0.577606368,-0.444365941,Proneural
TCGA.12.0619.01,-0.406293366,-0.412192132,Mesenchymal
TCGA.12.0620.01,-0.471990275,-0.341592526,Mesenchymal
